usertoscrapecomments,,usernametoscrapeprofile,posturl
jewelry2appreciate,,peaceofnaturejewelry,https://www.instagram.com/p/CLSmQxPA9IB/
treasurejewelry.shop,,cupidsmoonjewelry,
,,magicwoodcreations,
,,moonbeamrockshop,
,,honeylakedesigns,
,,deniseyezbakmoore,
,,bubblyhoops,
,,thebombelshop,
,,yuliya.shpilevaya,
,,darkwoodjewelry_new,
,,junk.journal.poland,
,,agateandindigo,
,,lunarmoodsjewellery,
,,rinahrose00,
,,jewelsbuyjenny,
,,zoelovecreations,
,,forestdesign_pl,
,,luvsemeralds,
,,rockandydesigns,
,,ms_friesch,
,,anamariaedulescu,
,,aurelia_by_sylvia,
,,camillesflowers,
,,amethystwithlove,
,,deniseyezbakmoore,
,,heyplantladystudio,
,,rinahrose00,
,,tinkeringtstrinketshoppe,
,,camillesflowers,
,,beads_and_posh,
,,aurelia_by_sylvia,
,,kandsdesigns.us,
,,lagraciadivinamoda,
,,februaryten_jewelry,
,,janetmiriamdesigns,
,,vidajewelrydesigns,
,,lexi2oo3,
,,tara_jewels,
,,ju.li6010,
,,nunzia9318,
,,lunarmoodsjewellery,
,,honeylakedesigns,
,,niarlight_,
,,chungdzi,
,,siebijoux,
,,thebombelshop,
,,dutchbeadedjewelry,
